WEB;CT-C;CT-A;CT-P;IR-C;IR-A;IR-P;SS-C;SS-A;RT-C;RT-A;T-C;T-A;EB-C;EB-A;PT-C;PT-A;PT-P;OF-C;OF-A;PE-C;PE-A;PE-P;EE-C;EE-A;AID-C;AID-P;IE-C;IE-A;EI-C;EI-P;SE-C;SE-A;PDE-C;PDE-A;PR-C;PR-A;PR-P;NFV-C;NFV-P
24 DE MAYO;2;21;1;2;30;2;1;0;3;3;4;0;3;7;3;1;0;4;0;2;14;27;3;18;4;0;5;0;5;0;5;0;5;0;2;6;6;4;0
BOLIVAR;2;41;12;2;30;4;3;16;3;36;3;1;3;6;3;1;0;4;0;2;4;2;3;16;4;0;5;0;5;0;5;0;5;0;2;168;55;4;0
CHONE;2;59;75;2;216;42;3;92;3;121;4;0;3;13;3;1;0;3;2;2;2;79;3;49;2;1;3;2;2;34;3;1;3;3;2;6;6;2;37
FLAVIO ALFARO;2;17;4;2;0;5;3;3;3;4;4;0;3;1;2;0;1;4;0;2;26;12;3;11;4;0;3;4;2;4;3;2;3;6;2;16;12;2;4
JAMA;2;10;12;2;2;2;1;0;1;0;4;0;3;3;3;1;0;4;0;2;0;12;3;10;4;0;3;6;2;2;3;3;3;9;2;1;6;2;2
JARAMIJO;2;51;40;2;0;1;3;36;3;114;4;0;3;1;3;1;0;3;1;2;0;44;3;43;4;0;5;0;5;0;5;0;5;0;2;7;83;2;1
JIPIJAPA;2;62;54;2;30;12;1;0;3;72;3;11;3;1;3;1;0;4;0;2;7;15;3;66;2;2;3;4;2;11;3;2;3;6;2;90;9;2;12
JUNIN;2;187;6;2;356;6;3;1;3;0;4;0;3;1;3;1;0;4;0;2;17;10;3;7;4;0;5;0;2;3;5;0;5;0;2;0;414;2;5
MONTECRISTI;2;58;24;2;28;5;1;0;3;32;4;0;3;3;3;1;0;4;0;2;6;13;3;52;2;1;3;2;2;1;3;1;3;3;2;74;9;2;1
OLMEDO;2;23;14;2;1;4;3;7;3;27;4;0;3;1;3;1;0;4;0;2;4;6;3;12;2;1;3;2;2;1;3;1;3;3;2;0;3;2;1
PAJAN;2;36;2;2;2;1;3;1;3;8;4;0;3;1;3;1;0;4;0;2;6;12;3;23;2;1;3;2;1;0;3;1;3;3;2;0;70;4;0
PEDERNALES;3;111;0;2;32;3;3;127;3;168;3;4;3;4;3;1;0;4;0;2;18;18;3;5;4;0;5;0;5;0;5;0;5;0;2;6;103;2;1
PICHINCHA;2;20;13;2;9;1;1;0;3;2;4;0;3;1;3;1;0;4;0;2;0;19;3;8;4;0;5;0;5;0;5;0;5;0;2;65;54;2;1
PORTOVIEJO;2;30;20;2;152;7;3;3;3;32;3;2;4;1;3;1;0;3;1;2;2;11;3;14;2;1;3;4;2;5;3;2;3;6;2;0;34;2;5
PUERTO LOPEZ;2;12;2;2;8;22;3;10;3;29;4;0;3;11;2;0;1;4;0;2;24;11;3;22;4;0;3;4;2;2;3;2;3;6;2;0;11;2;4
ROCAFUERTE;2;16;20;2;40;1;3;10;3;18;4;0;3;4;3;1;0;3;2;2;0;32;3;33;4;0;5;0;5;0;5;0;5;0;2;1;78;4;0
SANTA ANA;2;12;6;2;1;5;3;26;3;22;4;0;3;7;3;1;0;4;0;2;21;11;3;25;4;0;3;2;1;0;3;1;3;3;2;8;61;4;0
SUCRE;2;27;2;2;1;8;3;9;3;17;4;0;3;3;3;1;0;3;7;2;0;12;3;23;4;0;5;0;1;0;5;0;5;0;2;15;24;4;0
TOSAGUA;2;2;5;2;8;6;1;0;3;34;4;0;3;3;3;1;0;4;0;2;2;3;3;7;2;1;3;6;2;4;3;3;3;9;2;0;1;2;4
